variant,collapsed
A,other
A.1,other
A.18,other
A.2.5.1,other
A.2.5.2,other
A.21,other
A.23.1,other
A.25,other
A.27,other
A.28,other
A.29,other
AD.2,B.1.1
AE.1,B.1.1
AT.1,B.1.1
AY.1,B.1.617.2
AY.10,B.1.617.2
AY.100,B.1.617.2
AY.101,B.1.617.2
AY.102,B.1.617.2
AY.102.1,B.1.617.2
AY.103,B.1.617.2
AY.104,B.1.617.2
AY.105,B.1.617.2
AY.106,B.1.617.2
AY.107,B.1.617.2
AY.108,B.1.617.2
AY.109,B.1.617.2
AY.11,B.1.617.2
AY.110,B.1.617.2
AY.111,AY.111
AY.112,B.1.617.2
AY.113,B.1.617.2
AY.114,B.1.617.2
AY.116,B.1.617.2
AY.116.1,B.1.617.2
AY.117,B.1.617.2
AY.118,B.1.617.2
AY.119,B.1.617.2
AY.119.1,B.1.617.2
AY.119.2,B.1.617.2
AY.120,AY.120
AY.120.1,AY.120
AY.120.2,AY.120
AY.120.2.1,AY.120
AY.121,B.1.617.2
AY.121.1,B.1.617.2
AY.122,AY.122
AY.122.1,AY.122
AY.122.2,AY.122
AY.123,B.1.617.2
AY.124,B.1.617.2
AY.124.1,B.1.617.2
AY.125,B.1.617.2
AY.126,B.1.617.2
AY.127,B.1.617.2
AY.127.1,B.1.617.2
AY.128,B.1.617.2
AY.129,B.1.617.2
AY.13,B.1.617.2
AY.131,B.1.617.2
AY.132,B.1.617.2
AY.133,B.1.617.2
AY.14,B.1.617.2
AY.16,B.1.617.2
AY.16.1,B.1.617.2
AY.17,B.1.617.2
AY.20,B.1.617.2
AY.20.1,B.1.617.2
AY.22,B.1.617.2
AY.23,B.1.617.2
AY.23.1,B.1.617.2
AY.24,B.1.617.2
AY.25,B.1.617.2
AY.25.1,B.1.617.2
AY.25.1.1,B.1.617.2
AY.26,B.1.617.2
AY.27,B.1.617.2
AY.28,B.1.617.2
AY.29,B.1.617.2
AY.29.1,B.1.617.2
AY.3,B.1.617.2
AY.3.1,B.1.617.2
AY.3.2,B.1.617.2
AY.3.3,B.1.617.2
AY.30,B.1.617.2
AY.32,B.1.617.2
AY.33,B.1.617.2
AY.33.1,B.1.617.2
AY.34,B.1.617.2
AY.34.1,B.1.617.2
AY.34.1.1,B.1.617.2
AY.34.2,B.1.617.2
AY.35,B.1.617.2
AY.36,B.1.617.2
AY.37,B.1.617.2
AY.38,B.1.617.2
AY.39,B.1.617.2
AY.39.1,B.1.617.2
AY.39.1.2,B.1.617.2
AY.39.1.3,B.1.617.2
AY.39.2,B.1.617.2
AY.4,AY.4
AY.4.1,AY.4
AY.4.10,AY.4
AY.4.2,AY.4.2
AY.4.2.1,AY.4.2.1
AY.4.2.2,AY.4.2.2
AY.4.2.3,AY.4.2
AY.4.3,AY.4
AY.4.4,AY.4
AY.4.5,AY.4
AY.4.6,AY.4
AY.4.7,AY.4
AY.4.8,AY.4
AY.4.9,AY.4
AY.41,B.1.617.2
AY.42,B.1.617.2
AY.42.1,B.1.617.2
AY.43,AY.43
AY.43.2,AY.43
AY.43.3,AY.43
AY.43.4,AY.43
AY.43.5,AY.43
AY.43.6,AY.43
AY.43.7,AY.43
AY.44,B.1.617.2
AY.45,B.1.617.2
AY.46,B.1.617.2
AY.46.1,B.1.617.2
AY.46.2,B.1.617.2
AY.46.4,B.1.617.2
AY.46.5,AY.46.5
AY.46.6,B.1.617.2
AY.47,B.1.617.2
AY.5,AY.5
AY.5.1,AY.5
AY.5.2,AY.5
AY.5.3,AY.5
AY.5.4,AY.5
AY.5.5,AY.5
AY.50,B.1.617.2
AY.51,B.1.617.2
AY.53,B.1.617.2
AY.54,B.1.617.2
AY.55,B.1.617.2
AY.56,B.1.617.2
AY.57,B.1.617.2
AY.58,B.1.617.2
AY.59,B.1.617.2
AY.6,AY.6
AY.60,B.1.617.2
AY.61,B.1.617.2
AY.63,B.1.617.2
AY.64,B.1.617.2
AY.65,B.1.617.2
AY.66,B.1.617.2
AY.68,B.1.617.2
AY.69,B.1.617.2
AY.7,B.1.617.2
AY.7.1,B.1.617.2
AY.7.2,B.1.617.2
AY.70,B.1.617.2
AY.71,B.1.617.2
AY.72,B.1.617.2
AY.73,B.1.617.2
AY.74,B.1.617.2
AY.75,B.1.617.2
AY.75.2,B.1.617.2
AY.76,B.1.617.2
AY.78,B.1.617.2
AY.79,B.1.617.2
AY.8,B.1.617.2
AY.80,B.1.617.2
AY.82,B.1.617.2
AY.84,B.1.617.2
AY.85,B.1.617.2
AY.87,B.1.617.2
AY.88,B.1.617.2
AY.9,AY.9
AY.9.2,AY.9
AY.9.2.2,AY.9
AY.90,B.1.617.2
AY.91,B.1.617.2
AY.91.1,B.1.617.2
AY.92,B.1.617.2
AY.93,B.1.617.2
AY.94,B.1.617.2
AY.95,B.1.617.2
AY.98,AY.98
AY.98.1,AY.98
AY.99,B.1.617.2
AY.99.1,B.1.617.2
AY.99.2,B.1.617.2
AZ.2,B.1.1
AZ.4,B.1.1
AZ.5,B.1.1
B,other
B.1,B.1
B.1.1,B.1.1
B.1.1.1,B.1.1
B.1.1.10,B.1.1
B.1.1.111,B.1.1
B.1.1.115,B.1.1
B.1.1.117,B.1.1
B.1.1.133,B.1.1
B.1.1.135,B.1.1
B.1.1.141,B.1.1
B.1.1.153,B.1.1
B.1.1.159,B.1.1
B.1.1.161,B.1.1
B.1.1.163,B.1.1
B.1.1.170,B.1.1
B.1.1.171,B.1.1
B.1.1.174,B.1.1
B.1.1.189,B.1.1
B.1.1.198,B.1.1
B.1.1.203,B.1.1
B.1.1.214,B.1.1
B.1.1.216,B.1.1
B.1.1.220,B.1.1
B.1.1.232,B.1.1
B.1.1.241,B.1.1
B.1.1.243,B.1.1
B.1.1.25,B.1.1
B.1.1.253,B.1.1
B.1.1.263,B.1.1
B.1.1.269,B.1.1
B.1.1.27,B.1.1
B.1.1.274,B.1.1
B.1.1.277,B.1.1
B.1.1.279,B.1.1
B.1.1.28,B.1.1
B.1.1.294,B.1.1
B.1.1.297,B.1.1
B.1.1.298,B.1.1
B.1.1.301,B.1.1
B.1.1.302,B.1.1
B.1.1.305,B.1.1
B.1.1.306,B.1.1
B.1.1.307,B.1.1
B.1.1.311,B.1.1
B.1.1.312,B.1.1
B.1.1.315,B.1.1
B.1.1.317,B.1.1
B.1.1.318,B.1.1
B.1.1.326,B.1.1
B.1.1.329,B.1.1
B.1.1.33,B.1.1
B.1.1.348,B.1.1
B.1.1.351,B.1.1
B.1.1.354,B.1.1
B.1.1.359,B.1.1
B.1.1.360,B.1.1
B.1.1.369,B.1.1
B.1.1.37,B.1.1
B.1.1.371,B.1.1
B.1.1.374,B.1.1
B.1.1.375,B.1.1
B.1.1.39,B.1.1
B.1.1.397,B.1.1
B.1.1.404,B.1.1
B.1.1.406,B.1.1
B.1.1.413,B.1.1
B.1.1.416,B.1.1
B.1.1.417,B.1.1
B.1.1.420,B.1.1
B.1.1.433,B.1.1
B.1.1.434,B.1.1
B.1.1.44,B.1.1
B.1.1.442,B.1.1
B.1.1.46,B.1.1
B.1.1.47,B.1.1
B.1.1.485,B.1.1
B.1.1.487,B.1.1
B.1.1.50,B.1.1
B.1.1.500,B.1.1
B.1.1.51,B.1.1
B.1.1.519,B.1.1
B.1.1.521,B.1.1
B.1.1.523,B.1.1
B.1.1.525,B.1.1
B.1.1.528,B.1.1
B.1.1.529,B.1.1
B.1.1.54,B.1.1
B.1.1.63,B.1.1
B.1.1.67,B.1.1
B.1.1.7,B.1.1.7
B.1.1.70,B.1.1
B.1.110.3,B.1
B.1.149,B.1
B.1.160,B.1
B.1.160.16,B.1
B.1.177,B.1.177
B.1.177.10,B.1.177
B.1.177.15,B.1.177
B.1.177.16,B.1.177
B.1.177.18,B.1.177
B.1.177.21,B.1.177
B.1.177.32,B.1.177
B.1.177.35,B.1.177
B.1.177.4,B.1.177
B.1.177.44,B.1.177
B.1.177.46,B.1.177
B.1.177.5,B.1.177
B.1.177.52,B.1.177
B.1.177.53,B.1.177
B.1.177.54,B.1.177
B.1.177.57,B.1.177
B.1.177.60,B.1.177
B.1.177.7,B.1.177
B.1.177.73,B.1.177
B.1.177.75,B.1.177
B.1.177.77,B.1.177
B.1.177.8,B.1.177
B.1.177.81,B.1.177
B.1.177.82,B.1.177
B.1.177.83,B.1.177
B.1.177.86,B.1.177
B.1.177.87,B.1.177
B.1.189,B.1
B.1.195,B.1
B.1.2,B.1
B.1.210,B.1
B.1.214.2,B.1
B.1.214.3,B.1
B.1.22,B.1
B.1.221,B.1
B.1.222,B.1
B.1.232,B.1
B.1.234,B.1
B.1.236,B.1
B.1.239,B.1
B.1.240,B.1
B.1.241,B.1
B.1.243,B.1
B.1.258,B.1
B.1.258.11,B.1
B.1.258.14,B.1
B.1.258.17,B.1
B.1.258.3,B.1
B.1.260,B.1
B.1.349,B.1
B.1.351,B.1
B.1.351.2,B.1
B.1.351.3,B.1
B.1.351.5,B.1
B.1.36,B.1
B.1.36.1,B.1
B.1.36.16,B.1
B.1.36.18,B.1
B.1.36.22,B.1
B.1.36.24,B.1
B.1.36.29,B.1
B.1.36.31,B.1
B.1.36.35,B.1
B.1.36.38,B.1
B.1.36.39,B.1
B.1.36.7,B.1
B.1.36.8,B.1
B.1.36.9,B.1
B.1.362,B.1
B.1.367,B.1
B.1.375,B.1
B.1.377,B.1
B.1.389,B.1
B.1.391,B.1
B.1.398,B.1
B.1.399,B.1
B.1.400,B.1
B.1.409,B.1
B.1.411,B.1
B.1.416,B.1
B.1.416.1,B.1
B.1.427,B.1
B.1.429,B.1
B.1.438,B.1
B.1.438.1,B.1
B.1.441,B.1
B.1.459,B.1
B.1.462,B.1
B.1.466,B.1
B.1.466.1,B.1
B.1.466.2,B.1
B.1.469,B.1
B.1.470,B.1
B.1.471,B.1
B.1.474,B.1
B.1.480,B.1
B.1.499,B.1
B.1.505,B.1
B.1.525,B.1
B.1.526,B.1
B.1.527,B.1
B.1.533,B.1
B.1.540,B.1
B.1.549,B.1
B.1.551,B.1
B.1.558,B.1
B.1.561,B.1
B.1.568,B.1
B.1.575,B.1
B.1.575.1,B.1
B.1.577,B.1
B.1.600,B.1
B.1.609,B.1
B.1.617,B.1
B.1.617.1,B.1
B.1.617.2,B.1.617.2
B.1.617.3,B.1
B.1.618,B.1
B.1.619,B.1
B.1.620,B.1
B.1.621,B.1
B.1.621.1,B.1
B.1.621.2,B.1
B.1.623,B.1
B.1.625,B.1
B.1.626,B.1
B.1.629,B.1
B.1.630,B.1
B.1.637,B.1
B.1.640.1,B.1
B.1.9,B.1
B.23,other
B.3,other
B.39,other
B.4,other
B.40,other
B.55,other
BA.1,BA.1
BA.1.1,BA.1.1
BA.1.1.1,BA.1.1.1
BA.1.1.10,BA.1.1
BA.1.1.11,BA.1.1
BA.1.1.12,BA.1.1
BA.1.1.13,BA.1.1.13
BA.1.1.14,BA.1.1.14
BA.1.1.15,BA.1.1.15
BA.1.1.16,BA.1.1
BA.1.1.17,BA.1.1
BA.1.1.18,BA.1.1
BA.1.1.2,BA.1.1
BA.1.1.3,BA.1.1
BA.1.1.4,BA.1.1
BA.1.1.5,BA.1.1
BA.1.1.6,BA.1.1
BA.1.1.7,BA.1.1
BA.1.1.8,BA.1.1
BA.1.1.9,BA.1.1
BA.1.10,BA.1
BA.1.12,BA.1
BA.1.13,BA.1
BA.1.13.1,BA.1
BA.1.14,BA.1
BA.1.14.1,BA.1
BA.1.14.2,BA.1
BA.1.15,BA.1.15
BA.1.15.1,BA.1.15.1
BA.1.15.2,BA.1.15
BA.1.15.3,BA.1.15
BA.1.16,BA.1.16
BA.1.16.1,BA.1.16
BA.1.16.2,BA.1.16
BA.1.17,BA.1.17
BA.1.17.1,BA.1.17
BA.1.17.2,BA.1.17.2
BA.1.18,BA.1
BA.1.19,BA.1
BA.1.20,BA.1
BA.1.21,BA.1
BA.1.21.1,BA.1
BA.1.22,BA.1
BA.1.24,BA.1
BA.1.3,BA.1
BA.1.4,BA.1
BA.1.5,BA.1
BA.1.6,BA.1
BA.1.7,BA.1
BA.1.8,BA.1
BA.1.9,BA.1
BA.2,BA.2
BA.2.1,BA.2.1
BA.2.10,BA.2.10
BA.2.10.1,BA.2.10
BA.2.10.2,BA.2.10
BA.2.10.3,BA.2.10
BA.2.10.4,BA.2.10
BA.2.11,BA.2
BA.2.12,BA.2
BA.2.12.1,BA.2
BA.2.12.2,BA.2
BA.2.13,BA.2
BA.2.13.1,BA.2
BA.2.14,BA.2
BA.2.15,BA.2
BA.2.16,BA.2
BA.2.17,BA.2
BA.2.18,BA.2
BA.2.2,BA.2
BA.2.2.1,BA.2
BA.2.20,BA.2
BA.2.21,BA.2
BA.2.22,BA.2
BA.2.23,BA.2
BA.2.23.1,BA.2
BA.2.24,BA.2
BA.2.25,BA.2
BA.2.26,BA.2
BA.2.27,BA.2
BA.2.28,BA.2
BA.2.29,BA.2
BA.2.3,BA.2.3
BA.2.3.1,BA.2.3
BA.2.3.10,BA.2.3
BA.2.3.11,BA.2.3
BA.2.3.12,BA.2.3
BA.2.3.14,BA.2.3
BA.2.3.15,BA.2.3
BA.2.3.16,BA.2.3
BA.2.3.17,BA.2.3
BA.2.3.2,BA.2.3
BA.2.3.20,BA.2.3
BA.2.3.4,BA.2.3
BA.2.3.5,BA.2.3
BA.2.3.6,BA.2.3
BA.2.3.7,BA.2.3
BA.2.3.9,BA.2.3
BA.2.30,BA.2
BA.2.31,BA.2
BA.2.31.1,BA.2
BA.2.32,BA.2
BA.2.33,BA.2
BA.2.34,BA.2
BA.2.35,BA.2
BA.2.36,BA.2
BA.2.37,BA.2
BA.2.38,BA.2
BA.2.38.1,BA.2
BA.2.38.2,BA.2
BA.2.38.3,BA.2
BA.2.39,BA.2
BA.2.4,BA.2
BA.2.40,BA.2
BA.2.40.1,BA.2
BA.2.41,BA.2
BA.2.42,BA.2
BA.2.43,BA.2
BA.2.44,BA.2
BA.2.45,BA.2
BA.2.46,BA.2
BA.2.47,BA.2
BA.2.48,BA.2
BA.2.49,BA.2
BA.2.5,BA.2
BA.2.50,BA.2
BA.2.51,BA.2
BA.2.52,BA.2
BA.2.53,BA.2
BA.2.54,BA.2
BA.2.55,BA.2
BA.2.56,BA.2
BA.2.57,BA.2
BA.2.58,BA.2
BA.2.6,BA.2
BA.2.60,BA.2
BA.2.61,BA.2
BA.2.62,BA.2
BA.2.63,BA.2
BA.2.64,BA.2
BA.2.65,BA.2
BA.2.66,BA.2
BA.2.67,BA.2
BA.2.68,BA.2
BA.2.7,BA.2
BA.2.70,BA.2
BA.2.71,BA.2
BA.2.72,BA.2
BA.2.74,BA.2
BA.2.75,BA.2.75
BA.2.75.1,BA.2.75
BA.2.75.10,BA.2.75
BA.2.75.2,BA.2.75
BA.2.75.3,BA.2.75
BA.2.75.4,BA.2.75
BA.2.75.5,BA.2.75
BA.2.75.6,BA.2.75
BA.2.75.7,BA.2.75
BA.2.76,BA.2
BA.2.77,BA.2
BA.2.78,BA.2
BA.2.79,BA.2
BA.2.8,BA.2
BA.2.80,BA.2
BA.2.81,BA.2
BA.2.82,BA.2
BA.2.85,BA.2
BA.2.86,BA.2
BA.2.86.1,BA.2
BA.2.86.2,BA.2
BA.2.86.3,BA.2
BA.2.86.4,BA.2
BA.2.86.5,BA.2
BA.2.86.6,BA.2
BA.2.87,BA.2
BA.2.9,BA.2.9
BA.2.9.1,BA.2.9
BA.2.9.2,BA.2.9
BA.2.9.3,BA.2.9
BA.2.9.4,BA.2.9
BA.2.9.5,BA.2.9
BA.2.9.6,BA.2.9
BA.2.9.7,BA.2.9
BA.3,B.1.1
BA.3.1,B.1.1
BA.4,BA.4
BA.4.1,BA.4
BA.4.1.1,BA.4
BA.4.1.10,BA.4
BA.4.1.11,BA.4
BA.4.1.3,BA.4
BA.4.1.4,BA.4
BA.4.1.5,BA.4
BA.4.1.6,BA.4
BA.4.1.7,BA.4
BA.4.1.8,BA.4
BA.4.1.9,BA.4
BA.4.2,BA.4
BA.4.3,BA.4
BA.4.4,BA.4
BA.4.5,BA.4
BA.4.6,BA.4
BA.4.6.1,BA.4
BA.4.6.2,BA.4
BA.4.6.3,BA.4
BA.4.6.4,BA.4
BA.4.6.5,BA.4
BA.4.7,BA.4
BA.5,BA.5
BA.5.1,BA.5.1
BA.5.1.1,BA.5.1
BA.5.1.10,BA.5.1
BA.5.1.11,BA.5.1
BA.5.1.12,BA.5.1
BA.5.1.15,BA.5.1
BA.5.1.16,BA.5.1
BA.5.1.17,BA.5.1
BA.5.1.18,BA.5.1
BA.5.1.19,BA.5.1
BA.5.1.2,BA.5.1
BA.5.1.20,BA.5.1
BA.5.1.21,BA.5.1
BA.5.1.22,BA.5.1
BA.5.1.23,BA.5.1
BA.5.1.24,BA.5.1
BA.5.1.25,BA.5.1
BA.5.1.26,BA.5.1
BA.5.1.27,BA.5.1
BA.5.1.28,BA.5.1
BA.5.1.3,BA.5.1
BA.5.1.30,BA.5.1
BA.5.1.31,BA.5.1
BA.5.1.32,BA.5.1
BA.5.1.33,BA.5.1
BA.5.1.35,BA.5.1
BA.5.1.37,BA.5.1
BA.5.1.4,BA.5.1
BA.5.1.5,BA.5.1
BA.5.1.6,BA.5.1
BA.5.1.7,BA.5.1
BA.5.1.8,BA.5.1
BA.5.1.9,BA.5.1
BA.5.10,BA.5
BA.5.10.1,BA.5
BA.5.11,BA.5
BA.5.2,BA.5.2
BA.5.2.1,BA.5.2.1
BA.5.2.12,BA.5.2
BA.5.2.13,BA.5.2
BA.5.2.14,BA.5.2
BA.5.2.16,BA.5.2
BA.5.2.19,BA.5.2
BA.5.2.2,BA.5.2
BA.5.2.20,BA.5.2
BA.5.2.21,BA.5.2
BA.5.2.22,BA.5.2
BA.5.2.23,BA.5.2
BA.5.2.24,BA.5.2
BA.5.2.25,BA.5.2
BA.5.2.26,BA.5.2
BA.5.2.27,BA.5.2
BA.5.2.28,BA.5.2
BA.5.2.29,BA.5.2
BA.5.2.3,BA.5.2
BA.5.2.30,BA.5.2
BA.5.2.31,BA.5.2
BA.5.2.33,BA.5.2
BA.5.2.34,BA.5.2
BA.5.2.35,BA.5.2
BA.5.2.36,BA.5.2
BA.5.2.37,BA.5.2
BA.5.2.38,BA.5.2
BA.5.2.39,BA.5.2
BA.5.2.4,BA.5.2
BA.5.2.40,BA.5.2
BA.5.2.41,BA.5.2
BA.5.2.42,BA.5.2
BA.5.2.43,BA.5.2
BA.5.2.44,BA.5.2
BA.5.2.45,BA.5.2
BA.5.2.46,BA.5.2
BA.5.2.47,BA.5.2
BA.5.2.48,BA.5.2
BA.5.2.51,BA.5.2
BA.5.2.52,BA.5.2
BA.5.2.53,BA.5.2
BA.5.2.54,BA.5.2
BA.5.2.56,BA.5.2
BA.5.2.57,BA.5.2
BA.5.2.58,BA.5.2
BA.5.2.59,BA.5.2
BA.5.2.6,BA.5.2
BA.5.2.60,BA.5.2
BA.5.2.61,BA.5.2
BA.5.2.62,BA.5.2
BA.5.2.63,BA.5.2
BA.5.2.7,BA.5.2
BA.5.2.8,BA.5.2
BA.5.2.9,BA.5.2
BA.5.3,BA.5
BA.5.3.1,BA.5
BA.5.3.2,BA.5
BA.5.3.3,BA.5
BA.5.3.4,BA.5
BA.5.3.5,BA.5
BA.5.5,BA.5
BA.5.5.1,BA.5
BA.5.5.2,BA.5
BA.5.5.3,BA.5
BA.5.6,BA.5
BA.5.6.1,BA.5
BA.5.6.2,BA.5
